Kanton;Gemeinde;FlÑche;LÑngengrad;Breitengrad
UR;UnterschÑchen;8033;703320;190575
UR;VierwaldstÑttersee (UR);1924;688500;198912
UR;Wassen;9689;683691;175405
SZ;Alpthal;2288;696911;212644
SZ;Altendorf;2040;705342;225376
SZ;Arth;4208;682932;212016
SZ;Einsiedeln;9904;701730;219359
SZ;Feusisberg;1749;697998;225674
SZ;Freienbach;1373;700953;228070
SZ;Galgenen;1329;708698;224909
SZ;Gersau;1436;682811;206636
SZ;Illgau;1089;698978;205873
SZ;Ingenbohl;1343;688198;206523
SZ;Innerthal;5016;712286;214895
SZ;KÅssnacht am Rigi;2936;676440;214962
SZ;Lachen;242;707549;227900
SZ;Lauerz;923;686803;208825
SZ;Morschach;2081;692028;202977
SZ;Muotathal;17216;706541;201997
SZ;Oberiberg;3294;702114;209675
SZ;Reichenburg;1159;716364;224470
SZ;Riemenstalden;1121;695251;199872
